t_ms,encoder_count,position_rad,ADC_Index,ADC_Thumb,Voltage_Index,Voltage_Thumb,X_gauss,Y_gauss,Z_gauss,test
4408,2945,12.385529270176628,14,54,0.011282051282051281,0.04351648351648351,-2.232,0.336,-8.0,1
4426,2945,12.385529270176628,9,49,0.007252747252747252,0.03948717948717948,-2.232,0.336,-8.0,1
4445,2945,12.385529270176628,17,53,0.013699633699633697,0.0427106227106227,-2.232,0.336,-8.0,1
4463,2945,12.385529270176628,21,51,0.016923076923076923,0.041098901098901096,-2.24,0.328,-8.0,1
4482,2945,12.385529270176628,20,49,0.01611721611721612,0.03948717948717948,-2.248,0.328,-8.0,1
4500,2945,12.385529270176628,16,55,0.012893772893772894,0.044322344322344324,-2.272,0.328,-8.0,1
4519,2945,12.385529270176628,12,51,0.009670329670329669,0.041098901098901096,-2.304,0.328,-8.0,1
4537,2945,12.385529270176628,14,55,0.011282051282051281,0.044322344322344324,-2.312,0.32,-8.0,1
4556,2945,12.385529270176628,7,46,0.005641025641025641,0.03706959706959707,-2.32,0.32,-8.0,1
4574,2945,12.385529270176628,16,46,0.012893772893772894,0.03706959706959707,-2.32,0.32,-8.0,1
4593,2945,12.385529270176628,0,50,0.0,0.040293040293040296,-2.312,0.32,-8.0,1
4611,2945,12.385529270176628,7,48,0.005641025641025641,0.038681318681318674,-2.304,0.32,-8.0,1
4630,2945,12.385529270176628,12,38,0.009670329670329669,0.03062271062271062,-2.312,0.32,-8.0,1
4648,2945,12.385529270176628,6,51,0.004835164835164834,0.041098901098901096,-2.352,0.32,-8.0,1
4667,2945,12.385529270176628,14,50,0.011282051282051281,0.040293040293040296,-2.376,0.312,-8.0,1
4685,2945,12.385529270176628,16,48,0.012893772893772894,0.038681318681318674,-2.376,0.312,-8.0,1
4704,2945,12.385529270176628,16,43,0.012893772893772894,0.03465201465201465,-2.376,0.312,-8.0,1
4722,2945,12.385529270176628,16,48,0.012893772893772894,0.038681318681318674,-2.376,0.312,-8.0,1
4741,2945,12.385529270176628,18,48,0.014505494505494505,0.038681318681318674,-2.368,0.312,-8.0,1
4760,2945,12.385529270176628,22,58,0.017728937728937726,0.04673992673992673,-2.368,0.312,-8.0,1
4778,2945,12.385529270176628,23,54,0.018534798534798533,0.04351648351648351,-2.376,0.312,-8.0,1
4797,2945,12.385529270176628,17,57,0.013699633699633697,0.04593406593406593,-2.384,0.312,-8.0,1
4815,2945,12.385529270176628,16,57,0.012893772893772894,0.04593406593406593,-2.384,0.312,-8.0,1
4834,2945,12.385529270176628,23,63,0.018534798534798533,0.05076923076923076,-2.384,0.312,-8.0,1
4852,2945,12.385529270176628,18,61,0.014505494505494505,0.049157509157509154,-2.384,0.312,-8.0,1
4871,2945,12.385529270176628,19,51,0.01531135531135531,0.041098901098901096,-2.384,0.32,-8.0,1
4889,2945,12.385529270176628,18,59,0.014505494505494505,0.047545787545787546,-2.376,0.32,-8.0,1
4908,2945,12.385529270176628,23,63,0.018534798534798533,0.05076923076923076,-2.384,0.32,-8.0,1
4926,2945,12.385529270176628,25,55,0.020146520146520148,0.044322344322344324,-2.384,0.32,-8.0,1
4945,2945,12.385529270176628,23,64,0.018534798534798533,0.051575091575091575,-2.384,0.32,-8.0,1
4963,2945,12.385529270176628,19,60,0.01531135531135531,0.04835164835164835,-2.384,0.32,-8.0,1
4982,2945,12.385529270176628,32,66,0.025787545787545788,0.05318681318681318,-2.4,0.32,-8.0,1
5000,2945,12.385529270176628,29,64,0.023369963369963366,0.051575091575091575,-2.424,0.312,-8.0,1
5019,2945,12.385529270176628,17,74,0.013699633699633697,0.05963369963369963,-2.448,0.312,-8.0,1
5037,2945,12.385529270176628,20,60,0.01611721611721612,0.04835164835164835,-2.464,0.312,-8.0,1
5056,2945,12.385529270176628,21,52,0.016923076923076923,0.0419047619047619,-2.48,0.312,-8.0,1
5074,2945,12.385529270176628,27,62,0.021758241758241755,0.04996336996336996,-2.496,0.312,-8.0,1
5093,2945,12.385529270176628,16,59,0.012893772893772894,0.047545787545787546,-2.512,0.304,-8.0,1
5111,2945,12.385529270176628,15,68,0.012087912087912088,0.05479853479853479,-2.52,0.304,-8.0,1
5130,2945,12.385529270176628,23,58,0.018534798534798533,0.04673992673992673,-2.528,0.304,-8.0,1
5148,2945,12.385529270176628,16,56,0.012893772893772894,0.045128205128205125,-2.536,0.304,-8.0,1
5167,2945,12.385529270176628,19,61,0.01531135531135531,0.049157509157509154,-2.536,0.304,-8.0,1
5185,2945,12.385529270176628,22,60,0.017728937728937726,0.04835164835164835,-2.528,0.304,-8.0,1
5204,2945,12.385529270176628,16,57,0.012893772893772894,0.04593406593406593,-2.536,0.304,-8.0,1
5222,2945,12.385529270176628,17,57,0.013699633699633697,0.04593406593406593,-2.56,0.304,-8.0,1
5241,2945,12.385529270176628,16,55,0.012893772893772894,0.044322344322344324,-2.6,0.304,-8.0,1
5259,2945,12.385529270176628,17,68,0.013699633699633697,0.05479853479853479,-2.632,0.296,-8.0,1
5278,2945,12.385529270176628,16,77,0.012893772893772894,0.06205128205128205,-2.656,0.296,-8.0,1
5296,2945,12.385529270176628,16,67,0.012893772893772894,0.05399267399267399,-2.68,0.296,-8.0,1
5315,2945,12.385529270176628,26,61,0.02095238095238095,0.049157509157509154,-2.696,0.288,-8.0,1
5333,2945,12.385529270176628,18,52,0.014505494505494505,0.0419047619047619,-2.712,0.288,-8.0,1
5352,2945,12.385529270176628,27,63,0.021758241758241755,0.05076923076923076,-2.72,0.288,-8.0,1
5370,2945,12.385529270176628,22,61,0.017728937728937726,0.049157509157509154,-2.72,0.288,-8.0,1
